n,m,gamma,gamma_t,gamma_c,rhs,holds
6,7,2,2,2,2,True
11,27,2,2,2,2,True
11,42,1,2,1,1,True
11,46,1,2,1,1,True
9,14,2,3,3,2,True
7,8,2,4,4,3,True
11,20,3,4,4,3,True
5,7,2,2,2,2,True
11,45,1,2,1,1,True
5,5,2,2,2,2,True
11,21,3,3,3,3,True
9,28,1,2,1,1,True
10,31,1,2,1,1,True
7,16,1,2,1,1,True
8,9,3,3,3,3,True
11,44,1,2,1,1,True
6,6,2,2,2,2,True
11,38,1,2,1,1,True
11,32,1,2,1,1,True
10,19,3,3,3,3,True
6,9,2,2,2,2,True
11,39,2,2,2,2,True
6,8,1,2,1,1,True
10,32,2,2,2,2,True
8,17,1,2,1,1,True
8,13,2,2,2,2,True
8,14,2,2,2,2,True
10,17,3,3,3,3,True
9,14,2,3,3,2,True
5,8,1,2,1,1,True
12,20,3,4,4,3,True
12,40,2,2,2,2,True
10,32,2,2,2,2,True
8,8,3,4,4,3,True
9,23,2,2,2,2,True
9,24,2,2,2,2,True
11,26,2,2,2,2,True
10,34,2,2,2,2,True
8,10,2,3,3,2,True
8,14,2,2,2,2,True
9,13,2,3,3,2,True
12,39,2,2,2,2,True
8,19,2,2,2,2,True
9,28,1,2,1,1,True
8,19,1,2,1,1,True
9,25,1,2,1,1,True
11,38,1,2,1,1,True
10,26,2,2,2,2,True
10,35,1,2,1,1,True
10,15,3,4,4,3,True
10,39,1,2,1,1,True
11,31,2,2,2,2,True
12,27,2,3,3,2,True
10,34,2,2,2,2,True
8,23,1,2,1,1,True
8,14,2,2,2,2,True
9,24,1,2,1,1,True
11,30,2,2,2,2,True
9,24,2,2,2,2,True
9,19,2,2,2,2,True
6,8,2,2,2,2,True
7,17,1,2,1,1,True
5,7,2,2,2,2,True
5,4,2,3,3,2,True
6,5,3,3,3,3,True
7,7,3,3,3,3,True
10,27,2,2,2,2,True
12,22,3,4,4,3,True
11,31,2,2,2,2,True
6,9,2,2,2,2,True
6,6,2,2,2,2,True
8,22,1,2,1,1,True
8,17,2,2,2,2,True
9,11,3,4,4,3,True
7,11,2,2,2,2,True
12,33,2,3,3,2,True
5,5,2,2,2,2,True
6,9,2,2,2,2,True
12,28,2,2,2,2,True
10,24,2,2,2,2,True
10,20,3,3,3,3,True
12,51,2,2,2,2,True
8,15,2,2,2,2,True
6,9,2,2,2,2,True
9,21,2,2,2,2,True
10,27,2,2,2,2,True
10,31,2,2,2,2,True
12,39,2,2,2,2,True
7,14,2,2,2,2,True
6,9,2,2,2,2,True
10,26,2,2,2,2,True
7,13,1,2,1,1,True
7,12,2,2,2,2,True
6,8,2,2,2,2,True
11,29,2,3,3,2,True
5,6,2,2,2,2,True
6,11,1,2,1,1,True
6,8,2,2,2,2,True
6,8,2,2,2,2,True
10,24,2,2,2,2,True
12,47,2,2,2,2,True
9,18,2,2,2,2,True
12,34,2,2,2,2,True
8,17,2,2,2,2,True
7,9,2,3,3,2,True
7,12,2,2,2,2,True
6,8,2,2,2,2,True
5,5,2,2,2,2,True
11,37,2,2,2,2,True
8,17,2,2,2,2,True
7,8,2,2,2,2,True
8,15,2,2,2,2,True
6,11,2,2,2,2,True
7,12,2,2,2,2,True
6,13,1,2,1,1,True
9,13,3,4,4,3,True
7,13,2,2,2,2,True
9,19,2,2,2,2,True
5,6,2,2,2,2,True
5,7,2,2,2,2,True
12,29,2,2,2,2,True
11,31,2,2,2,2,True
10,30,2,2,2,2,True
8,24,1,2,1,1,True
10,26,2,2,2,2,True
10,21,2,2,2,2,True
12,35,2,2,2,2,True
12,37,2,2,2,2,True
6,7,2,3,3,2,True
11,38,1,2,1,1,True
8,10,2,3,3,2,True
9,25,2,2,2,2,True
6,8,2,2,2,2,True
12,45,2,2,2,2,True
10,34,2,2,2,2,True
10,37,1,2,1,1,True
12,25,3,3,3,3,True
11,16,3,4,4,3,True
6,10,2,2,2,2,True
7,10,2,2,2,2,True
8,19,2,2,2,2,True
5,7,1,2,1,1,True
9,30,1,2,1,1,True
11,28,2,3,3,2,True
9,20,1,2,1,1,True
10,18,3,3,3,3,True
12,49,1,2,1,1,True
11,22,3,3,3,3,True
12,51,1,2,1,1,True
12,40,2,2,2,2,True
11,26,2,3,3,2,True
8,23,1,2,1,1,True
11,20,3,4,4,3,True
11,35,1,2,1,1,True
10,29,1,2,1,1,True
9,21,2,2,2,2,True
5,4,2,3,3,2,True
6,8,2,2,2,2,True
7,10,2,2,2,2,True
9,17,2,2,2,2,True
11,40,2,2,2,2,True
12,41,2,2,2,2,True
5,6,1,2,1,1,True
10,24,2,2,2,2,True
11,41,2,2,2,2,True
8,13,2,2,2,2,True
12,51,2,2,2,2,True
9,26,2,2,2,2,True
9,29,2,2,2,2,True
8,19,2,2,2,2,True
7,11,2,2,2,2,True
5,4,2,2,2,2,True
12,42,2,2,2,2,True
8,7,4,4,4,4,True
8,25,1,2,1,1,True
11,41,2,2,2,2,True
12,50,2,2,2,2,True
9,28,1,2,1,1,True
12,43,1,2,1,1,True
7,12,2,2,2,2,True
12,21,3,4,4,3,True
10,28,2,2,2,2,True
9,22,2,2,2,2,True
9,21,2,2,2,2,True
11,41,1,2,1,1,True
9,29,2,2,2,2,True
11,24,3,3,3,3,True
10,35,1,2,1,1,True
8,13,2,2,2,2,True
8,14,2,2,2,2,True
5,4,2,2,2,2,True
8,9,3,4,4,3,True
11,36,2,2,2,2,True
5,6,1,2,1,1,True
12,53,2,2,2,2,True
12,24,3,3,3,3,True
8,15,2,2,2,2,True
9,11,3,4,5,4,True
7,6,3,4,5,4,True
8,16,2,2,2,2,True
